"Node ID","Latency","Node Type","Node"
"45","3","NodeEvalStreamOffset","EvalStreamOffset(loopLength)"
"6","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"24","3","NodeSub","-"
"25","4","NodeEq","=="
"29","5","NodeReinterpret","<{HWRawBits:1}>"
"28","5","NodeAnd","&"
"31","5","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"5","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"3","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"18","3","NodeEq","=="
"46","22","NodeStreamOffset","stream offset: -64loopLength"
"20","4","NodeMux","MUX"
"8","3","NodeSub","-"
"9","4","NodeEq","=="
"13","5","NodeReinterpret","<{HWRawBits:1}>"
"12","5","NodeAnd","&"
"15","5","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"16","5","NodeInput","Input(r)"
"21","10","NodeAdd","+"
"32","22","NodeOutput","Output(output)"
"35","21","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"36","21","NodeStreamOffset","stream offset: 1"
"38","22","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"41","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"44","0","NodeEq","=="
"42","1","NodeFlush","flush on trigger"
